Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,league,season
2021-08-06,Sp Lisbon,Vizela,3,0,H,15.0,6.0,5.0,1.0,1.28,5.5,11.0,EK,2122
2021-08-07,Arouca,Estoril,0,2,A,11.0,12.0,3.0,6.0,2.25,3.1,3.4,EK,2122
2021-08-07,Moreirense,Benfica,1,2,A,8.0,9.0,3.0,6.0,8.0,4.5,1.4,EK,2122
2021-08-07,Maritimo,Sp Braga,0,2,A,7.0,12.0,0.0,5.0,5.0,3.4,1.75,EK,2122
2021-08-08,Pacos Ferreira,Famalicao,2,0,H,20.0,10.0,3.0,2.0,2.37,3.25,3.0,EK,2122
2021-08-08,Porto,Belenenses,2,0,H,21.0,7.0,7.0,3.0,1.22,6.0,11.0,EK,2122
2021-08-08,Tondela,Santa Clara,3,0,H,10.0,23.0,5.0,5.0,3.0,3.1,2.45,EK,2122
2021-08-08,Guimaraes,Portimonense,0,1,A,18.0,7.0,3.0,1.0,2.0,3.2,4.0,EK,2122
2021-08-09,Gil Vicente,Boavista,3,0,H,9.0,13.0,6.0,5.0,2.1,3.1,3.8,EK,2122
2021-08-13,Brentford,Arsenal,2,0,H,8.0,22.0,3.0,4.0,4.0,3.4,1.95,EPL,2122
2021-08-13,M'gladbach,Bayern Munich,1,1,D,11.0,20.0,5.0,10.0,4.33,4.5,1.66,BL,2122
2021-08-13,Valencia,Getafe,1,0,H,4.0,22.0,2.0,4.0,2.55,3.0,3.1,LL,2122
2021-08-13,Estoril,Guimaraes,0,0,D,7.0,12.0,1.0,2.0,2.7,3.2,2.45,EK,2122
2021-08-14,Vizela,Tondela,2,1,H,20.0,8.0,6.0,2.0,2.37,3.2,2.8,EK,2122
2021-08-14,Benfica,Arouca,2,0,H,17.0,3.0,5.0,1.0,1.18,6.5,15.0,EK,2122
2021-08-14,Sp Braga,Sp Lisbon,1,2,A,16.0,5.0,6.0,3.0,3.2,3.4,2.15,EK,2122
2021-08-14,Augsburg,Hoffenheim,0,4,A,7.0,15.0,0.0,8.0,3.2,3.75,2.1,BL,2122
2021-08-14,Bielefeld,Freiburg,0,0,D,10.0,14.0,4.0,6.0,2.8,3.4,2.5,BL,2122
2021-08-14,Stuttgart,Greuther Furth,5,1,H,30.0,8.0,15.0,4.0,1.83,4.0,4.0,BL,2122
2021-08-14,Union Berlin,Leverkusen,1,1,D,8.0,16.0,5.0,4.0,2.75,3.4,2.55,BL,2122
2021-08-14,Wolfsburg,Bochum,1,0,H,21.0,7.0,9.0,1.0,1.53,4.5,5.75,BL,2122
2021-08-14,Dortmund,Ein Frankfurt,5,2,H,12.0,12.0,7.0,3.0,1.4,5.5,6.5,BL,2122
